Year,Title,Category 1,Category 2,Entity 1,Entity 2,Location,URL,Required response URL,Invited response (if different)
2023,Cyber Threat Preparedness,Information Techbology,,Board of Supervisors,Santa Cruz City Council,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-3_Cyber_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-3aR_Cyber_BoS_Required.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-3bR_Cyber_SantaCruzCC_Required.pdf
2023,Envisioning the Future of our Jails,Jails,,Board of Supervisors,Sheriff-Coroner,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-5_Jails_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-5aR_Jails_BoS_Required.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-5bR_Jails_Sheriff_Required.pdf
2023,Housing Our Workers,Housing,,Board of Supervisors,Capitola City Council,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-4_Housing_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-4aR_Housing_BoS_Required.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-4bR_Housing_CapitolaCC_Required.pdf
2023,Diagnosing the Crisis in Behavioral Health,Public Health,,Board of Supervisors,Mental Health Advisory Board,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-6_BHD_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-6aR_BHD_BoS_Required.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-6cI_BHD_MHAB_Invited.pdf
2023,Surveillance State in Santa Cruz County,Public Safety,,Sheriff-Coroner,Public Defender,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-7_Surveillance_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-7aR_Surveillance_Sheriff_Required.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-7bi_Surveillance_PubDef_Invited.pdf
2023,Code Compliance Division - Out of Compliance,Housing,Planning,Board of Supervisors,County Principal Planner,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-8_Planning_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-8aR_Planning_BoS_Required.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2023_final/2023-8bI_Planning_PrinPlan_Invited.pdf
2024,Santa Cruz County Local Roads,Infrastructure,,Board of Supervisors,LAFCO,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-1_Roads_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-1aR_Roads_BoS_Required_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-1bR_Roads_LAFCO_Required_Response.pdf
2024,We Can Do Better with Our Jails!,Jails,Public Health,Sheriff-Coroner,Sheriff Chief Deputy,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-5_Jails_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-5aR_Jails_Sheriff_Required_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-5bI_Jails_ChDeputySO_Invited_Response.pdf
2024,County Behavioral Health Services - A State of Mind,Public Health,,Board of Supervisors,Superintendent of Schools,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-7_HSA_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-7aR_HSA_BoS_Required_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-7bR_HSA_SoS_Required_Response.pdf
2024,Best Interest of a Child - Report on Child Protective Services,Child Protection,,Board of Supervisors,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-4_CPS_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-4aR_CPS_BoS_Required_Response.pdf,
2024,Victims of the CZU Wildfire - Four Years Later,Fire Safety,,Board of Supervisors,Community Development and Infrastructure,Santa Cruz Mountains,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-6_CZU_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-6aR_CZU_BoS_Required_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-6dI_CZU_DirCDI_Invited_Response.pdf
2024,Housing For Whom?,Housing,,Santa Cruz City Council,,Santa Cruz,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-8_Housing_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-8aR_Housing_SantaCruzCC_Required_Response.pdf,
2024,New Recruiting Ideas for the Personnel Department,Government,,Board of Supervisors,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-3_Personnel_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-3aR_Personnel_BoS_Required_Response.pdf,
2024,City of Santa Cruz: Preventing Rape and Domestic Violence,Public Safety,,Santa Cruz City Council,Commission for the Prevention of Violence Against Women,Santa Cruz,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-9_RapeData_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-9aR_RapeData_SantaCruzCC_Required_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2024_final/2024-9cI_RapeData_CPVAW_Invited_Response.pdf
2025,"""Climate Action"" Demands Outreach",Climate Change,,Board of Supervisors,OR3,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-1_Climate_Outreach_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-1a_Climate_BoS_Required_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-1b_Climate_OR3_Invited_Response.pdf
2025,Handcuffing and Transport,Public Safety,,Watsonville City Council,Watsonville Chief of Police,Watsonville,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-4_Handcuffing_and_Transport_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-4a_Handcuffing_WCC_RequiredResponse.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-4b_Handcuffing_WPD_InvitedResponse.pdf
2025,Navigating the Building Permit Process AGAIN,Housing,Planning,Board of Supervisors,Community Development and Infrastructure,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-3_Permitting_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-3a_Navigating_BoS_RequiredResponse.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-3b_Navigating_CDI_InvitedResponse.pdf
2025,Human Trafficking in Santa Cruz County,Public Safety,,Board of Supervisors,Sheriff-Coroner,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-5_Human_Trafficking_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-5a_Human_BoS_RequiredResponse.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-5b_Human_SHF_RequiredResponse.pdf
2025,If You Can't Measure It You Can't Manage It,Government,Public Health,Board of Supervisors,Central California Alliance for Health,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-6_High_Cost_Beneficiaries_Report.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-6a_Measure_BoS_RequiredResponse.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2025_final/2025-6b_Measure_CCAH_RequiredResponse.pdf
2026,Walking in the County of Santa Cruz is Not for the Faint of Heart,Infrastructure,,Board of Supervisors,Watsonville City Council,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2026_final/Walking%20in%20Santa%20Cruz.pdf,,
2026,Problematic Parking at the County Building,Transportation,Infrastructure,Board of Supervisors,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2026_final/Problematic%20Parking.pdf,,
2026,Election Integrity,Elections,,County Ckerk,Board of Supervisors,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2026_final/Election%20Integrity.pdf,,
2026,Santa Cruz County's Housing Crisis,Housing,,Board of Supervisors,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2026_final/Housing%20Crisis.pdf,,
2026,County Behavioral Health,Public Health,,Board of Supervisors,Sheriff-Coroner,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2026_final/Behavioral%20Health.pdf,,
2026,The Santa Cruz Branch Rail Line,Infrastructure,Transportation,Regional Transportation Commission,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2026_final/Santa%20Cruz%20Branch%20Rail%20Line.pdf,,
